Filename,SciSpacy Biomarkers,BiomedNLP Biomarkers
A (1).pdf,"HC]), CEA, CRC patients, tumor, wereidentifiedasthecorecontributorstodis-, CRC cell lines SW480, ourfindingsintheproteomicscohortusingELISAintwoinde-, mor, NTA, MLdiagnosticmodelsbasedon12candidateEVpro-, SW620, EVs, cardiovascular, Figure5, TSG101, cancer, CD63, levelsofAACTintheurineofpatientswithmetastaticlungcancer","##le, crc, l, ##dingsintheproteomics, ##anda, ##elis, identifiedpf, -, mor, ev, forth, ##he, weredetermined, dia, ##gno, ##finding, and, ##pithel, aa, ##sample, ##pf, separated, openaccess, metryidentified, ##edthetoprankingpathwaysbasedonev, derived, ##aa, ##tributors, ##vity, ##pf4, ##dia, 12, ##xi, ##heev, the, ##ale, august, ##rombo, ##tha, ##ves, ml, ##gnosticmodel, ##4andaactast, of, st, ##todis - tinguis, ##ete, ##h, precision - recall curve, t, september27, ##ustrates, ##lyelev, ##ingtransmissionelectronmicroscopy, roc, ##kv, ##ial, ##evproteinsf, ##nd, ##var, ##analysis, ##mapnetworkanalysisofassoc, ##elevate, ##bar, ##erumevsmayori, ##arlydiagno, best, ##ur, ##production, ##marker, ##ctasacandidatebiomarker, ##ide, our, importanceinpro, ##methodsareprovidedintheonlineversionoft, ##hispaperand, ##performance, sequential window, tumor, ##dis, ##pro, ##ase, ##hort, ##ead, 5 different, not, ##pl, ##app, valuesbarpl, ##pf4 - high, ##e, ##ction, atedp, ##actexhibit, evsfromserumweresubjectedtosubsequentexper, ##fr, intracellu, ##play, seqanalysis, ##iablesin, confusion, ##gnosticmodelsbase, by, ##of, ##thekeyproteinsinvolved, western, ##fortheev, abnormal, ##ed, ##th, ##pleyvalues, 13ll, spectro, ##basedonev, ##tic, int, ##ct, 11ll, sc, ##the, ##icle - like, ##predictionresultsfor273testset, legend, ##rna, ##gnosticmodelsb, ##how, variable identification, ##sin, ##taactcouldalsoserveasatu -, ce, ##bot, ##crcp, ##icts, ##ins, gs, ##mation, ##edsuperiordiagnostic, ##cr, trainsetand, ##ast, ##ep, low, ##in, tsg101, june, ##nce, ##comb, ##su, ##ev - derivedpf4andaact, ##gnosticpanels, ##ces, 25, ##sp, ##otill, ##gina, ##plicate, ##ev, ##reveale, ##ef, ##otted, ##ourres, ##andcha, tracking, ##f4, nanoparticle, 37, grp9, ##apply, ##for, ##calnexinwerenotexposed, ##inseparatedevs diagnosis, cell, relateddiagnosticmodel, ##firmed, ##cellsasthema, ##jorso, vip, ##oft, enrichment, mlmodel con - validation, (, ##ac, ##case, ##mapnetwork, 2024, related, predict, ##ive, declarationof, 338, ##dt, ##aact, 98, ##leaminoacidvar, ##hepotentialinteraction, het, ##edd, lass, ##pf4 -, ##and, la, july, ##hee, ##forth, theoretical, tudysuper - limitationsofthestudy, hc, ##therf, ##ion, ##par, ##aact -, cd63, detailed, ##inating, rf, ##plasma, ##te, ##f, ##using, ##reveals, ##ested, ##her, ##rf, ##o, functional, ##ple, ##thes, ##is, ##plotted, ##tobethem, ##don12candidateevpro - theserumevsfromthediscoveryset, ##act, ##y, ##ntcelltypesincrc, peptides d keyresourcestable containing, ##158externalsetsample, ##ification, ##mo, hcby, ##8, rf algorithm, rf mode, ##betweenp, ##feature, ##sing, cellrna sequencing, 2024ll, increasing, ##hing, levelsofaactint, tissues, ##ce, ##cases teins, ##rfdiagnosticmodelforcrcd, luteshrinkageandselectionoperator, fore, ##edthetoprankingpathways, have, ##ultsintermsof, ##als, ##eres, ##ved, ##pr, ##v, ##xa, ##gg, ##mat, ##obeen, ##ee, ##ro, ##ude, ##ha, biomarkers, base, isolated, ##ter, open, highestrankings, areaunder, ##ject, ##optworankingvariable, ##valuable, 202, ##ld, um, ##ach, ##heurineofpatientswithmetastaticlungcancer, final, high, ##iatedpathwaysenrichedinev, sha, ##leastabso - markers, uniformmanifold, mass star + methods, protein lysate, ##4, ##wer, bio, ##les, ##inenriched"
A (10).pdf,"colorectal, stomach, CRC tissue, plasma, colorectal tissue samples, liver, APOA1, Colorectal cancer, Fayazfar S, ORM2, FGB, CRC patients, C4A, polyp, lung, cancers, Plasma, plasma proteins, KRT1, colorectal cancer, breast, FGB and, IGJ, ALB, H, E., cancer cancers, cancer, CRC","crc, -, mor, large scale, world, plasma proteomic analysis, apoa1, ##gb, ##3, 000, hunting, , 000, orm2, advanced, ≥, home, plasma b, e, colorectal cancer, ##oma, c4a, ##faya, 14. 1 million new, university of medical sciences, tehran, iran, alb, ##hos, cancer, poly, 18 july 2019, hepa, tumor, regulated, ##omatou, liver, 1, 12 april 2019, decreasing, by, c, krt1, - 58, fold, plasma proteins, 18, ##can, normal, mortality, ##far, ##hes, cr, 960, ##p, breast, tabulation, regions, stomach, 30, 184, paramedical scie, sex, third, cancers, lung, ##teomics, ap, 000, 72, ##bo, down, g, hpr, 74, ##page, up - regulated, 8, death, graphical visualization, plasma, ##38, aden, ##ci, fgb, igj, 14. 1 million, color, 3, or, ##1, ##0, ##al, 2, ##ect, proteins, ##a, hp, significantly altered, f, change"
A (11).pdf,"patients, breast cancer, tumor, malignant tumors, plasma, basophils, IL7, anticancer, IL10, CXCL12, Cancer, cancers, prostate cancer serum, MCP-3, Z., TCPDF, F, PY-, IL15, colorectal cancer, blood, tumors, neutrophils, Hodi FS, node, cancer, CXCL1, serum, CRC","##sis, ##2356, crc, l, f i, rural, incidence, 0, r, positively correlated, higher, medic, scientific research project, difference, ca, and, new, blood - based, protein biomarkers, 107, proteom, advanced, 0. 9924, u, absolute count of basophils, prostate cancer, serum protein signature model, colorectal cancer, basic research, conflict, 10766, urban, 8992, t, cxcl, o, 185, ##stasis, scientific research, serum and, conflict of interest, cx, ##23, ##56, circulating, ##x, ##era, 17, ##pdf, plasma protein levels, tumor, pan, guangzhou, 1, <, ##e, mcp - 3, ##ea, cxcl1, ang, en, cm, cl, 10755, 10768, c, science and technology program, second, version t, cr, breast, guangzhou medical university, tumors, medical university, m, pro, dovepress, fifth, urban areas, 555, 000, mc, central hospital of guangzhou, 286, 000, ##c, hr, absolute count of neutrophils, cancers, ##ylation, il10, stages, ##66, 2024, university, introduction, mcp, ##cer, ##omics, urgent, non, g, wan, i, low and high throughput, science, fl, invasive, 4 changes, plasma, a, distant, central hospital, inflammation, meta, panyu central hospital of, il15, training, deaths, hospital, ##sta, cases, serum protein signature, dove, technology, ##ce, 4 cm, anti, nunez, j, basic and, prostate, group, 10 december 2024, nee, tc, align, 2, pote, ≥4, proteins, s, basic research foundation, il, system, serum, f"
A (12).pdf,"colorectal, normal tissues, JianvHuang, peripheral, adenoma, CRC patients, tumor, samples, CRCisarapidlyincreasinganddeadlydisease, CRC-, par-, plasma samples, CRC","patients, ##anelof, crc, l, ##met, -, 0, ##de, ##fen, ##gno, ms, 57 ofwhichwerethenstoredat−80◦C. 8of11, ##promising, ##idandlipid - likemolecule, ##metab, 4. 1 study, 2025, ##aceticacidant, ##liquidchroma, ##ide, particular, ##thatcanfacilita, tumor, lore, 26, guangzhou, ##pl, ##day, ##ane, to, ##you, ##ng, ##mark, 112, ##eim, ##2, ##ductedanuntargeted, ##zen, nanjing, million, ##rcearlyde, cr, ##lyde, ##arlyde, jian, ##ficationofmetabolitesthat, colorect, ##ctalcar, ##leunder, ##eobtainedduringsurgeryandsubsequentlyflushed, likel, role, introduction, ##bolomics, ##con, ##oseimplicatedinli, showed, tabolites, all, outstanding, biomark, ##cre, ##do, ##thi, ##bythenationalnatural, nt, trained, ##ico, ##asi, ##fasting, ##8, ##genesis, ##sar, studies, controlstudyinkunming, ##material, ##lip, ##ab, 1. 9, ##gua, sevenmetabolites, ##aladenoma, ##supportings, inc, nc, ##wer, ##dingsprovide, ##separatein, 10, lewangandxiang, we, ##21, ##el, ##nc, ##sic, ##crcandaffordnovel, ms / ms, diagnosed, ##arapidlyin, ##20 %, ##bloodaf, ##to, pi, ##name, metabolomics, ##ries, ##sunaturalscience foundation, ##b, ##ofcolorect, healthcare professionals, ##ptimalperformance, underlying, one, ##cino, ##ciesand, ##open, ##au, 239, ##tec, 109, abstract, ##ra, ##cr, ##whiteblood, ##nga, ##chang, seven, accounting, 6000, ##inatwo - stagecase, ##forfuturecl, ##isan, ##91, metabolic, 0. 9 million d, naturalsciencefoundationofguangdong, ##ma, ##med, ##ac, ##lyto, ##validatet, ##ulant, ##work, ##lp, ##under, ##qually, ##iling, ##cca, case – control, methods, sciencefoundationofchina, provided, ##specialyoungtalentplanofscientificand technologicalinnovation, ##causeof, ##lydetec, peripheral, ##dm, deaths, ##one, ##tc, ##ative, ##ly, nationalscienceandtechnologymajorproject, ##ben, biomarkers, ##ter, gbiomarkers, high, 5 ml, 28. 8 %, ##cplasmamet, et, ##ag, ##lof, ##eter, ##ori, controls, ##change, ##si, ##creativecom, 164, r, ##unt, earlydiagnosis, ##eases, ##fundo, ##use, ##rem, ##colorectal adenoma, ##metabolites, 9, ##fi, ##peci, ##ing, our, ##nov, ##rovidenovel, ##of, ##dong, ##thechangeinme, normal, ##s, ##cancer, redbloodcel, particularly, ##hes, eat, 97, ##hecreative, ##biomark, ##asmametabolomic, ##gur, . 9 million, ##c, ##ful, ##ar, ##for, ##collection, ##nimumof8, ##ance, ##fjiang, yet, ap, ##ers, ##pidlyin, ##uti, ##re, ##bu, metabolicdisturbanceplaysacritical, ##hi, ##inical venous, 219, as, ##asma, ##blood, ##rce, meta, ##ublish, ##ex, ##ara, ##lizedmachine, noncommunicablechronicdis, ##ples, ##ngand, income, ##cp, ##designandpopulation, ##rcversus, bloodsamplesboth, thee, med, ##pe, and, ##ndxia, ##ana, full, ##tha, ##ectedmetab, massspectrometry, plasma samples, par, ##findingsprovidenovel, ##tography, ##nd, allmalign, ##biomarkers, this, promofin, ##eta, ##enediaminetet, ##termsoft, 1, ##xia, ##bol, ##hyl, ##sam, ##9, ##lasma, ##encesinpl, lew, tod, ##ergymetabolisminco, ##by, ##the, evidence, 30. 6 %, stable, distribution, 91, camsinnovationfundfor medicalsciences, ##in, research, colorectaladenoma, less, ##lasmametaboli, ##anfacilitatec, three, ##mostcom, falsedis, ##edbysichuaninternationalmed, prof, duc, ##nti, bloodsamplesweredrawnprior, ##and, 4, ##tudyreveale, sample, ##using, ##fin, study, ##ho, ##ami, ##mic, ##ci, mechanisms, ##gnosticperformanceof, ##etabol, ##have, tissues, color, ##wentrapidcentrifugation, ##promisin, lip, ##hs, ##th"
A (13).pdf,"CW-2, patients, liver, Colorectal cancer, CRC cell lines, w/v, mucinous carcinoma fetal bovine serum, ANGPTL2, amino acid, Colo320, gastric cancer, LoVo, human CRC cell lines, penicillin, Caco-2 cells, gastric cancer cell line, Colo205, NCC-CoC-K115P, angiopoietin-like protein 2, colorectal cancer, Caco-2, FBS, organs, Cells, WiDr, cancer, serum, CRC","##ken, ##goshima university, 1 - 21, ##sis, 100 µg, crc, 1. 2 million, disease, 0. 1 mmol / l, 20 %, meta, co, higher, ca, ang, cw, pen, deaths, fetal bovine, ##sta, angptl2 i, mu, 100 u / ml, ##ma, angiopoie, ##ce, 7, culture, ##cino, col, cr, school, 89, / ml, center ka, >, amino, ##us, ##icillin, ##gnancy, ##l2 colorectal cancer, non, carcino, ##our, nc, angpt, protein, biores, gas, serum, 8, ##c"
A (14).pdf,"patients, colorectal, CEA, Solid Tumors, F, TheWalterandElizaHallInstituteofMedicalResearch,1GRoyalParade, Cancer, tumor, DNA, Tsui, tumor DNA, SciTranslMed2014;6:224ra224, Circulating tumour cells, ctDNA, Tie, Tol, ofcolorectal","treatment, l, dna analysis, ##llow, disease, ##at, which, -, ##gencyclinicalresearchfellowship, tumorcellscirculateintheperipheral, ##694000de, metastatic evaluation criteria, ur, ##ofcirculatingtumordna, mutant dna, and, he, ##chemother, evaluation, ##unt, ##somatictumor, ##by, ie, ##nsitivemet, ##tum, ##cycle 2, ##mas, solid tumors, ##dy, quantification, ##ectalcancer, line, ##yactivetherap, ##gents, the, ##nts, free, with, gold, central, ##tial, ##motherapyandtarget, early, of, ##ge, ##ft, serial, ##herapeuticregimensforpatient, ##untfor694000deathsper, amino, limita, combination, ##dentified, heeuropeansociety, ##cology, ##to, limita - disease, ti, ##withct, ##fi, ##corre - lated, ##che, ##ord, ##analysis, ##bserved, response, cancer, monitormetastaticbreast, circulating, ##ema, ##me, massively parallel sequencing, ##hea, statisticalanalysis, ##dis, tumor, ##al the, nonparametric progression - freeandover, ##eintumorsize, ##pl, detection, ##are, ##asa, victorian, ##e, ##amplesforthisstu, ##yactivetherapies, ##8. 1, ##of, ##t, to, survival, ##mark, ##orsizeusingaseries, ##ct, wethankthevictoriancancer, comparing, ##ysisshouldbeincorporatedintofutureclinicaltrialstoprovide, ##can, ##the, ##urvivalin, candidate, ##s, ##mutationsforctdna, themolecularevolutionof, ##so, ##2015, ##lytothi, please, ##sin, ##jorcarcinomasbut, ce, ##quanti, allsurvivalinadvancedcolorectalcancerpatients, inter, ##metastaticcolor, ##52, ##eria, blood, fluorescentmagneticparticlesfordetectionandenumerationofgeneticvariation, on, tumorigen, ##in, ##chang, ##biomark, pro, ##universitypressonbehal, outcomes, mc, ##ement, sundinaetal. t, ##dna, ##quiredresistan, transforming, 30, ##targetedegfrblockadeincolorectalcancer, hr, ##ulatingtumordnain, published, poor, bothauthor, ##ated, ##biobankforprocessingsome, rst, intraobserver, . 7vers, ##all, ##ted, ctdna, ##ies, ##year, ##rarem, ##se, ##for, ##patientswithmetastaticcolorectalcancer, ##tri, specific, ##ath, ##mutationsandsub, ##ma, duringfirst - linechemotherapypredi, ##oft, ##ac, ##ein, ##statistics, ##fo, ##namolecule, tu, ##eda, ct, ##tumorsize, predict, rep, these, ##cer, ##ub, ##quent, ##and, ##ands, ##as, major, ##with, ##urvival, ##on, lesser reductions, ##bu, ##rityofpat, ##circ, ##asman, ##formedical, descriptive, ##enes, it, ##befor, ##thes, ##lc, ##dforquantitat, responses, ##ad, ##mutationsinmultipleg, meta, imaging, ##sper, significantreductionsin, ever, †, ##oxford, ofini, ##8, ##mo, ##sing, early - andlate - stagehumanmalign, increasing, – 10weeks, ##sse, rapididentificationof, ##static evaluation criteria, ##arerequiredforcan, ##pani, ##eo, ##themann – whitneyu - tes, rec, receiver operating characteristic curves, color, - didatetissuemutationsweredetectableinthecell - freednafromtheplasmaof48ofthese52, ##werei, ##pa, health, ##ben, ##mour cells, improving, ##lth, ##ini, ##i, more correlated, ##posed, increased, annals, amorerobustassessmentofthispromisingbiomark, ##tre, ##led, procnatlacads, ##wer, progressi, bio, biology, ##forma, circulatingtum, nat, ##dict, ##patient"
A (15).pdf,"patients, tumor, plasma, Colorectal cancer, Cancer, cancers, Patients, tumor buds, malignant neoplasm Patients, CRC patients [10], colorectal cancer, Jun SH, Cell, rectum, colon, cfDNA, GS, CEA, tumors, perineural, tissue, mucosa, FP-S, colon cancer, cancer, CRC","neo, cea, ##mata, size, crc, como, ##ection, fold higher, l, disease, ##rb, -, higher, - thirds, mu, cn, within 2, 3 folds higher, e, colorectal cancer, ##idities, manipulation, 185, colon, surgical, 9, resection, ##jo, extracted, ##er, cancer, over, tumor, fragment, tn, 1, increases, cfdna, su, 903, 000 deaths, graphpad, lower, fragments < 400 bp, cf, des, so, fold, 2. 4 - fold increase, 3. 1 - fold increase, 1. 3, cr, ##p, wilcox, % to 50 %, increase, 1. 9 million, tumors, fragmentation, surgical manipulation, 60 years old, ##gnant, th, three, 406890 /, fra, intraoper, ##phovascular invasion, cancers, graphpad prism software, tissue damage, stage, ##pq, resis system, ##tic run, ##as, longer, ##m, friedman test, app, form, greater, electropherogram, surgery, plasma, res, meta, intra, 36, > 5 ng / ml, ##sta, electroph, tumor buds, gments > 400 bp, rec, tapestation equipment, color, significant, 440, 3, test, elevated, electro, ##omic material, 2, high, perineural invasion, increased, nucleic acid isolation kit, automated, ##pho, magmax cell, ##cos, f"
A (16).pdf,"patients, colorectal, tumor, antitumor, lymph node-like, cancer patients, Nebozhyn M, Colorectal cancer, human, human colorectal carcinoma cells, CRC patients, Huang J, Cancer, cell, cancers, Patients, colorectal carcinoma, body, CXCL11, samples, colorectal cancer, Sagi-Assif O, Cancers, colorectal cancer patients, CXCL10, tissue, tissue samples, cancer, Cancer J Clin, peripheral blood, CRC","patients, cxcl11, ##xcl, crc, polymerase chain reaction, ec, higher, - like, ca, cxcl10, human colorectal carcinoma, ##rre, advanced, colorectal cancer, immune gene array, cance, invasion - related properties, 185, cxcl, two, cx, radiation therapy, tissue samples, cancer, ##x, colorectal, tumor, iv, 1, expression, ##e, ##dd, cxcl1, pc, ##top, tt, c, ##oo, higher education, science, indicators, concentration, lymph node, metastasis, and technology, ##w, million, conflicts, cr, unique, therapy, between january and august 202, ##ff, tissue, ##pp, chemotherapy, esti, antitumor, pp, primary colorectal carcinoma, ##cc, rsitas, oncotarget, cancers, stages, stage, ##7, ##edd, differences, ##wee, unive, ##11, universitas, g, referral hospital, bb, ##fin, biomark, ##r, five, metasta, larger, ##y, meta, 54, 6, 36, ##sta, ##cl, ##xcl11, rec, color, ##al cancer, 3, structures, colitis, ##al, ##tok, ##dings, fundamental research, variation, pcr, bio, 11, peripheral blood"
A (17).pdf,"patients, NC, arachidonic acid, allocholic acid, plasma, oleic acid, fatty acid, homocysteine, lipid, CRC cell lines, cially, Figure 1), Fecal, phenol, adenoma, L-histidine, plasma samples, androsterone sulfate, adenoma-carcinoma, food-derived, cholic acid glycine, linoleic acid, CRC","arachidonic acid, crc, ##met, tia, 43, ##let, ##paratedcl, -, at, enriched, we, ##indole, ##calsam, and, ##co, ##ofalteredmetab, ##quence, ##ando, progression, ##idmetabolites, ##inchemotherapyresponders, - ms, pls -, 138, ##ductedmetabolites, chemotherapeuticresp, ##metab, ##abolites, ##nc, advanced, ##thed, ##metabolic, ##yin, with, ##ific, lc, ##metabolitesalongtheade, ##enrich, ##metabolites, 878, ##oma, ##eca, o, ##4sequen - plasma, ##nd, instage, cancer, ##ual, ##reeind, chrom, ##mento, ##tes, melleolide, ##mp, ##bet, ##hea, ##sw, cholic acid, ##ites, ##non, ##hort, ##pl, ##s -, ##3, ##ares, ##are, carcinoma, 1, ##tidine, differential, ##e, ##ea, ##ofpro -, ##rc, alpha, ##very, ##cal, ##om, plasma metabolome, cra, ##pleswerep, weidentified, ##pls -, ##wed, ##of, to, ##fe, pair, ##sintothefunctionalsign, cia, ##erfromothermetab, ##pon, ##so, normal, ##dh, his, legend, ##the, alterationofmicrobialmetabolitesinstagesofcrc, metabolites, alpl, l - histi, ##fc, de, cr, fattyacylestersofhydroxyfattyacids, - apartfromplasma, ##ins, ##pathways, endogenous, ##cr, ##ll, glycine conjugate, ##depletionofdheasulfat, ##pletion, ##ep, ##in, specificpeaksofselecteddifferenti, ##aboli, ##masamples, ##entialpl, ##vid, da, ##di, ##ces, individuals, ##c, lc - ms, ##lm, un, lin, ##olic acid, ##his, ##calandplasma, 37, ##top3differential, ##discovery, comparison, ##ma, different, ##ome, glucose - alaninecy - fecal, ##no, ##ance, top, ##analyses, fa, ##sas, ##dt, ##ignatures, ##int, ##de - litesa, these, ##asmametabolites, ##ers, ##con, ##119patient, homocysteine degradation, ##and, ##as, ##eofmicrobialmetabolites, ##nin, ##11, ara, distributions, sign, heatmapofdiffer, ##ion, heatmapofdifferential, pls, all, ##cal metabolome, ##lmetabolites, ##thattheplasmfindings, ##ole, ##lly, ##fcrc, ##progression alteration, ##asma, ##metabolitesin, ##is, plasma, ##rosterone, adenoma - carcinoma, 22, respond, oleic acid enrichment, meta, micro, ##bial, fatty acid, ##cala, aden, cle, ##ver, ##entialmetabolites, ##off, ##etabol, ##crc, olites, ##6 –, correlationand, ##formedase, ##ography - mass spectrometry, phenol, significant, non - responders, 143, ##id, oleicacidin, liquid, tumorigenic analyses, 1387, altered, ##functionalrol, 29, ##1, ##lth, open, alteration, ##aredton, ##fecalmetabolites, ##ab, ##sulfat, ##crcco, ##gaininsight, ##cco, ##tage, ##chemotherapy, 988, alterationofplasma, 373, ##ets, ##nr, carcinomas, f, ##patient, ##lenicaci"
A (18).pdf,"patients, Tumor, Cancer, human, Altman, KET, WNT5A, Brenner H, HB, colorectalcancer, IntJ, BHM, Chang-Claude J, CRC","##center, ##eneand, dna, ##tingrelativelyst, crc, ##met, ##anda, ##at, ##stic, -, ep, we, ##de, under, and, ##jun, ##ousexternalv, confidence intervals, ##ty, 10522, ailaddress, ##lance, ##ss, methyl, ##their9, sevens, ##rgenumberofprogno, cox regression analyses, ##ectalcancer, ##lystronglevelofevidencefor, ##thenewlyobtained, with, ##ft, e, ##markers, ##onanevidencescoring, based, ##gram, ##siveasse, ##ssociation, ti, ##le forcolorectalcancer, ##io, two, implications, ##analysis, tumor diseases, ##thenewlyobtaine, ##biomarkers, this, ##thylation, ##ersandtwomult, ##evens, ##la, validation, ##mento, relevant, formostotherproposed, ##ing, our, ##bt, w, ##pro, ##lebiomarkersandtwomulti - biomarkers, nc - nd, ##ures, ##aridentified, ##are, ##rel, rt, ##14, ##cdkn2apromotermethylation, ##lege, ##10year, ##ck, ##ting, ##wn, ##igenetic, ##of, ##ste, ad, 1a, cia, ##mark, ##es, ##a - analysisofpreviouslysuggested, ##d, mailad, ##st, ##nsing, ##ri, ##had, ##by, ##can, ##the, ##fromoure, ##studiesinepidemi, ##open, imne, methylation, evidence, ##ltiplegenebiomarkerswer, cr, ##rgenumber, ##1st, ##120, ,, cis, sevensingle, ##mingatdeveloping, ##cr, external validation, reduced, ##ciation, ##alval, ##in, ##29multiplegenemethylationbiomarkers, ##biomark, ##meta - analyses, ##pot, ##ersforsporadiccolorectalcancer, build, ##di, research, ##previousmeta - analyses, ##c, ##venmu, colorect, ##dna, ##ces, ##cd, th, ##foundsevensingle, ##genemethylation, results, hr, published, ##leunder, incorporating, screening, ##rand, ##venmultiplegene, 37, ##ene, conducted, ##se, ##eadingcauses, ##alcancer, ##geneme, biomarkersandtwobiomarkerpanelsforcrctobe, majority, ##leg, ##mise, ##oft, ##feld, ##ance, ##prehen, ##ac, ##fo, 2024, ##ass, ##dt, ##geneous, ##ers, ##cer, het, ##and, subsequent, ##dent, ##re, ##with, ##ified, iso, supporting, ##pt, translationin, ##5 %, ##van, ##idationand, ##edhazard ratios, ##panelsofgenemethylation at, ##24, colorectalcan, ##and methylation, fate, ##genemethylationbiomarkers, colorectalcancer, 0. 9 million, ##siveeva, biomark, as, ##potentialclinic, ##ation, ##lc, e - m, did, meta, consultation, im, deaths, ##sing, interpretation, have, ##gor, guidelines, march, ac, alargenumberof, ##online, ##ly, ala, 2303, ##gnostic, ##ex, ass, wei, biomarkers, ##1, ##151, ##pool, ##dates, between, 202, ##methyl - studies, forcolorectalcancer, ductedacomprehensive, ##i, ##rong, ##urfindingsbyprioritizing, ##atures, 0. 9 million deaths, ##ccby - nc - nd license, analysis, ##twobiomarkerpanelsforcrct, ##tern, ##4, ##cp, ##20, weidentifiedcandidates with, ##eve, ##patient, ##videdacom"
